city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Pirot,43.1519,22.5850,Serbia,RS,Pirot,admin,,
Vlasotince,42.9667,22.1333,Serbia,RS,Vlasotince,admin,,
Prokuplje,43.2339,21.5861,Serbia,RS,Prokuplje,admin,,
Batočina,44.1500,21.0833,Serbia,RS,Batočina,admin,,
Dimitrovgrad,43.0167,22.7833,Serbia,RS,Dimitrovgrad,admin,,
Doljevac,43.1968,21.8334,Serbia,RS,Doljevac,admin,,
Velika Plana,44.3333,21.0833,Serbia,RS,Velika Plana,admin,,
Svilajnac,44.2167,21.2000,Serbia,RS,Svilajnac,admin,,
Svrljig,43.4167,22.1167,Serbia,RS,Svrljig,admin,,
Šid,45.1283,19.2264,Serbia,RS,Šid,admin,,
Negotin,44.2167,22.5167,Serbia,RS,Negotin,admin,,
Bojnik,43.0142,21.7180,Serbia,RS,Bojnik,admin,,
Topola,44.2525,20.6761,Serbia,RS,Topola,admin,,
Blace,43.2906,21.2847,Serbia,RS,Blace,admin,,
Apatin,45.6667,18.9833,Serbia,RS,Apatin,admin,,
Ćuprija,43.9231,21.3686,Serbia,RS,Ćuprija,admin,,
Arilje,43.7519,20.0906,Serbia,RS,Arilje,admin,,
Kovin,44.7475,20.9761,Serbia,RS,Kovin,admin,,
Boljevac,43.8247,21.9519,Serbia,RS,Boljevac,admin,,
Kosjerić,44.0000,19.9167,Serbia,RS,Kosjerić,admin,,
Ćićevac,43.7167,21.4500,Serbia,RS,Ćićevac,admin,,
Plandište,45.2292,21.1238,Serbia,RS,Plandište,admin,,
Bogatić,44.8376,19.4807,Serbia,RS,Bogatić,admin,,
Varvarin,43.7167,21.3667,Serbia,RS,Varvarin,admin,,
Ražanj,43.6744,21.5492,Serbia,RS,Ražanj,admin,,
Mionica,44.2500,20.0833,Serbia,RS,Mionica,admin,,
Aranđelovac,44.3042,20.5561,Serbia,RS,Aranđelovac,admin,,
Kula,45.6109,19.5274,Serbia,RS,Kula,admin,,
Novi Bečej,45.6000,20.1167,Serbia,RS,Novi Bečej,admin,,
Bečej,45.6167,20.0333,Serbia,RS,Bečej,admin,,
Žitorađa,43.1833,21.7167,Serbia,RS,Žitorađa,admin,,
Titel,45.2000,20.3000,Serbia,RS,Titel,admin,,
Merošina,43.2813,21.7218,Serbia,RS,Merošina,admin,,
Stara Pazova,44.9833,20.1667,Serbia,RS,Stara Pazova,admin,,
Bosilegrad,42.5005,22.4728,Serbia,RS,Bosilegrad,admin,,
Knić,43.9167,20.7167,Serbia,RS,Knić,admin,,
Sečanj,45.3667,20.7725,Serbia,RS,Sečanj,admin,,
Kovačica,45.1117,20.6214,Serbia,RS,Kovačica,admin,,
Medveđa,42.8333,21.5833,Serbia,RS,Medveđa,admin,,
Žitište,45.4850,20.5497,Serbia,RS,Žitište,admin,,
Čajetina,43.7500,19.7167,Serbia,RS,Čajetina,admin,,
Sremska Mitrovica,44.9833,19.6167,Serbia,RS,Sremska Mitrovica,admin,,
Ivanjica,43.5811,20.2297,Serbia,RS,Ivanjica,admin,,
Inđija,45.0492,20.0792,Serbia,RS,Inđija,admin,,
Žabari,44.3562,21.2143,Serbia,RS,Žabari,admin,,
Petrovac na Mlavi,44.3783,21.4194,Serbia,RS,Petrovac na Mlavi,admin,,
Mali Iđoš,45.7092,19.6663,Serbia,RS,Mali Iđoš,admin,,
Ub,44.4500,20.0667,Serbia,RS,Ub,admin,,
Rača,44.2333,20.9833,Serbia,RS,Rača,admin,,
Srbobran,45.5522,19.8017,Serbia,RS,Srbobran,admin,,
Ljig,44.2266,20.2394,Serbia,RS,Ljig,admin,,
Rekovac,43.8667,21.1333,Serbia,RS,Rekovac,admin,,
Novi Kneževac,46.0500,20.1000,Serbia,RS,Novi Kneževac,admin,,
Lajkovac,44.3667,20.1667,Serbia,RS,Lajkovac,admin,,
Aleksandrovac,43.4553,21.0514,Serbia,RS,Aleksandrovac,admin,,
Malo Crniće,44.5603,21.2906,Serbia,RS,Malo Crniće,admin,,
Kuršumlija,43.1408,21.2678,Serbia,RS,Kuršumlija,admin,,
Raška,43.2856,20.6092,Serbia,RS,Raška,admin,,
Golubac,44.6529,21.6308,Serbia,RS,Golubac,admin,,
Pećinci,44.9089,19.9664,Serbia,RS,Pećinci,admin,,
Nova Crnja,45.6685,20.6042,Serbia,RS,Nova Crnja,admin,,
Majdanpek,44.4167,21.9333,Serbia,RS,Majdanpek,admin,,
Ruma,45.0031,19.8289,Serbia,RS,Ruma,admin,,
Vladimirci,44.6158,19.7843,Serbia,RS,Vladimirci,admin,,
Tutin,42.9875,20.3256,Serbia,RS,Tutin,admin,,
Babušnica,43.0680,22.4115,Serbia,RS,Babušnica,admin,,
Brus,43.3836,21.0336,Serbia,RS,Brus,admin,,
Osečina,44.3667,19.6000,Serbia,RS,Osečina,admin,,
Veliko Gradište,44.7500,21.5167,Serbia,RS,Veliko Gradište,admin,,
Kučevo,44.4833,21.6667,Serbia,RS,Kučevo,admin,,
Koceljeva,44.4687,19.8214,Serbia,RS,Koceljeva,admin,,
Temerin,45.4053,19.8869,Serbia,RS,Temerin,admin,,
Gadžin Han,43.2223,22.0333,Serbia,RS,Gadžin Han,admin,,
Opovo,45.0522,20.4303,Serbia,RS,Opovo,admin,,
Žagubica,44.1979,21.7902,Serbia,RS,Žagubica,admin,,
Trgovište,42.3514,22.0921,Serbia,RS,Trgovište,admin,,
Nova Varoš,43.4667,19.8203,Serbia,RS,Nova Varoš,admin,,
Bela Palanka,43.2178,22.3067,Serbia,RS,Bela Palanka,admin,,
Crna Trava,42.8071,22.3247,Serbia,RS,Crna Trava,admin,,
Preševo,42.3067,21.6500,Serbia,RS,Preševo,admin,,
Bujanovac,42.4667,21.7667,Serbia,RS,Bujanovac,admin,,
Mladenovac,44.4418,20.6970,Serbia,RS,Beograd,minor,,
Petrovaradin,45.2500,19.8667,Serbia,RS,Novi Sad,minor,,
Obrenovac,44.6539,20.2000,Serbia,RS,Beograd,minor,,
Grocka,44.6720,20.7153,Serbia,RS,Beograd,minor,,
Surčin,44.7944,20.2781,Serbia,RS,Beograd,minor,,
Barajevo,44.5790,20.4179,Serbia,RS,Beograd,minor,,
Niška Banja,43.2943,22.0099,Serbia,RS,Niš,minor,,
Lazarevac,44.3667,20.2500,Serbia,RS,Beograd,minor,,
Sopot,44.5193,20.5758,Serbia,RS,Beograd,minor,,
Kostolac,44.7167,21.1667,Serbia,RS,Požarevac,minor,,
