city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Kudamatsu,34.0150,131.8703,Japan,JP,Yamaguchi,,56634,56634
Mukōchō,34.9486,135.6983,Japan,JP,Kyōto,,56415,56415
Toki,35.3525,137.1833,Japan,JP,Gifu,,56133,56133
Narutochō-mitsuishi,34.1667,134.6167,Japan,JP,Tokushima,,56007,56007
Nōgata,33.7439,130.7297,Japan,JP,Fukuoka,,55937,55937
Annaka,36.3264,138.8872,Japan,JP,Gunma,,55578,55578
Chino,35.9956,138.1589,Japan,JP,Nagano,,55531,55531
Hidaka,35.9078,139.3392,Japan,JP,Saitama,,55241,55241
Sakurai,34.5189,135.8519,Japan,JP,Nara,,55005,55005
Hamura,35.7672,139.3111,Japan,JP,Tōkyō,,54874,54874
Mutsu,41.2931,141.1831,Japan,JP,Aomori,,54721,54721
Hanyū,36.1728,139.5486,Japan,JP,Saitama,,53870,53870
Minami-Sōma,37.6422,140.9572,Japan,JP,Fukushima,,53643,53643
Funato,34.2564,135.3111,Japan,JP,Wakayama,,53566,53566
Imarichō-kō,33.2647,129.8808,Japan,JP,Saga,,53483,53483
Miyako,39.6414,141.9572,Japan,JP,Iwate,,52471,52471
Shiraoka,36.0189,139.6769,Japan,JP,Saitama,,52094,52094
Bandō,36.0483,139.8889,Japan,JP,Ibaraki,,51903,51903
Tomiya,38.4000,140.8953,Japan,JP,Miyagi,,51889,51889
Arao,32.9867,130.4333,Japan,JP,Kumamoto,,51325,51325
Sakaidechō,34.3164,133.8606,Japan,JP,Kagawa,,51196,51196
Nichinan,31.6019,131.3789,Japan,JP,Miyazaki,,51106,51106
Miyoshi,34.8058,132.8517,Japan,JP,Hiroshima,,51049,51049
Tsukubamirai,35.9631,140.0372,Japan,JP,Ibaraki,,50870,50870
Noshiromachi,40.2122,140.0267,Japan,JP,Akita,,50842,50842
Yūki,36.3053,139.8775,Japan,JP,Ibaraki,,50817,50817
Satte,36.0781,139.7258,Japan,JP,Saitama,,50767,50767
Tōkamachi,37.1275,138.7557,Japan,JP,Niigata,,50754,50754
Yasu,35.0675,136.0258,Japan,JP,Shiga,,50432,50432
Tomisato,35.7267,140.3431,Japan,JP,Chiba,,49868,49868
Yamaga,33.0167,130.6914,Japan,JP,Kumamoto,,49783,49783
Suzaka,36.6511,138.3069,Japan,JP,Nagano,,49734,49734
Hikari,33.9617,131.9422,Japan,JP,Yamaguchi,,49686,49686
Sanmu,35.6028,140.4136,Japan,JP,Chiba,,49300,49300
Nomimachi,36.4375,136.4961,Japan,JP,Ishikawa,,49200,49200
Omitama,36.2394,140.3525,Japan,JP,Ibaraki,,49200,49200
Shimotsuchō-kominami,34.1556,135.2092,Japan,JP,Wakayama,,48846,48846
Ena,35.4494,137.4128,Japan,JP,Gifu,,48777,48777
Hitachi-ota,36.5383,140.5311,Japan,JP,Ibaraki,,48758,48758
Suwa,36.0392,138.1142,Japan,JP,Nagano,,48695,48695
Takahama,34.9276,136.9877,Japan,JP,Aichi,,48561,48561
Suzukawa,35.3731,139.3842,Japan,JP,Kanagawa,,48379,48379
Gosen,37.7500,139.1833,Japan,JP,Niigata,,48360,48360
Ishigaki,24.3333,124.1500,Japan,JP,Okinawa,,48132,48132
Tonami,36.6500,136.9667,Japan,JP,Toyama,,48116,48116
Takeochō-takeo,33.1939,130.0192,Japan,JP,Saga,,48011,48011
Higashine,38.4314,140.3911,Japan,JP,Yamagata,,47920,47920
Iwakura,35.2833,136.8667,Japan,JP,Aichi,,47839,47839
Noboribetsu,42.4128,141.1067,Japan,JP,Hokkaidō,,47795,47795
Ami,36.0308,140.2150,Japan,JP,Ibaraki,,47755,47755
Tomioka,36.2600,138.8900,Japan,JP,Gunma,,47648,47648
Kasuga,33.6108,130.4806,Japan,JP,Fukuoka,,47554,47554
Kikugawa,34.7578,138.0842,Japan,JP,Shizuoka,,47547,47547
Kamiyoshida,35.4875,138.8081,Japan,JP,Yamanashi,,47211,47211
Takashima,35.3528,136.0356,Japan,JP,Shiga,,47124,47124
Kasaoka,34.5072,133.5072,Japan,JP,Okayama,,47097,47097
Nakai,33.5756,133.6414,Japan,JP,Kōchi,,46951,46951
Kurayoshi,35.4300,133.8256,Japan,JP,Tottori,,46943,46943
Shima,34.3283,136.8306,Japan,JP,Mie,,46937,46937
Tamagawa,33.6317,130.7997,Japan,JP,Fukuoka,,46611,46611
Hokota,36.1586,140.5164,Japan,JP,Ibaraki,,46415,46415
Kariya,34.7889,134.3724,Japan,JP,Hyōgo,,46347,46347
Hokuto,41.8242,140.6531,Japan,JP,Hokkaidō,,46054,46054
Shimeo,33.5914,130.4797,Japan,JP,Fukuoka,,45918,45918
Inabe,35.1158,136.5614,Japan,JP,Mie,,45454,45454
Hagi,34.4078,131.3989,Japan,JP,Yamaguchi,,45435,45435
Tateyama,34.9967,139.8700,Japan,JP,Chiba,,45300,45300
Masuda,34.6750,131.8428,Japan,JP,Shimane,,45291,45291
Inuma,36.0000,139.6239,Japan,JP,Saitama,,44977,44977
Himi,36.8500,136.9833,Japan,JP,Toyama,,44874,44874
Shinshiro,34.9000,137.5000,Japan,JP,Aichi,,44713,44713
Otofuke,42.9942,143.1981,Japan,JP,Hokkaidō,,44377,44377
Sugito,36.0256,139.7367,Japan,JP,Saitama,,44202,44202
Makinohara,34.7400,138.2247,Japan,JP,Shizuoka,,44111,44111
Kobayashi,31.9967,130.9728,Japan,JP,Miyazaki,,44034,44034
Ogimachi,33.2506,130.2017,Japan,JP,Saga,,43617,43617
Shimabara,32.7756,130.3381,Japan,JP,Nagasaki,,43553,43553
Futtsu,35.3042,139.8569,Japan,JP,Chiba,,43213,43213
Taketoyo,34.8514,136.9150,Japan,JP,Aichi,,43113,43113
Yuzawa,39.1644,140.4958,Japan,JP,Akita,,42887,42887
Nakano,36.7419,138.3694,Japan,JP,Nagano,,42390,42390
Kitaibaraki,36.8019,140.7511,Japan,JP,Ibaraki,,42122,42122
Shimo-tsuma,36.1844,139.9675,Japan,JP,Ibaraki,,41964,41964
Nanbei,35.3206,139.1000,Japan,JP,Kanagawa,,41814,41814
Obita,32.8253,129.8750,Japan,JP,Nagasaki,,41630,41630
Itoigawa,37.0333,137.8500,Japan,JP,Niigata,,41325,41325
Ōzu,33.5064,132.5447,Japan,JP,Ehime,,41201,41201
Kasumigaura,36.1519,140.2372,Japan,JP,Ibaraki,,40833,40833
Sasayama,35.0758,135.2192,Japan,JP,Hyōgo,,40708,40708
Komono,35.0200,136.5075,Japan,JP,Mie,,40487,40487
Kurobeshin,36.8667,137.4500,Japan,JP,Toyama,,40231,40231
Sagae,38.3811,140.2761,Japan,JP,Yamagata,,40185,40185
Nakama,33.8167,130.7090,Japan,JP,Fukuoka,,40003,40003
Takikawa,43.5578,141.9106,Japan,JP,Hokkaidō,,39960,39960
Hitachiomiya,36.5517,140.4119,Japan,JP,Ibaraki,,39904,39904
Inashiki,35.9567,140.3239,Japan,JP,Ibaraki,,39854,39854
Gishi,26.1911,127.7286,Japan,JP,Okinawa,,39835,39835
Sakuragawa,36.3272,140.0906,Japan,JP,Ibaraki,,39692,39692
Gujō,35.7486,136.9644,Japan,JP,Gifu,,39582,39582
Mibu,36.4272,139.8039,Japan,JP,Tochigi,,39454,39454
Aizawa,35.5289,139.3217,Japan,JP,Kanagawa,,39381,39381
Ibara,34.5978,133.4639,Japan,JP,Okayama,,39172,39172
Nishiwaki,34.9933,134.9694,Japan,JP,Hyōgo,,39147,39147
Higashimatsushima,38.4264,141.2106,Japan,JP,Miyagi,,39138,39138
Misawa,40.6833,141.3689,Japan,JP,Aomori,,38877,38877
Miyoshidai,35.8283,139.5267,Japan,JP,Saitama,,38393,38393
Fuchūchō,34.5683,133.2364,Japan,JP,Hiroshima,,37874,37874
Maibara,35.3153,136.2839,Japan,JP,Shiga,,37850,37850
Umi,33.5678,130.5111,Japan,JP,Fukuoka,,37609,37609
Yasugichō,35.4317,133.2508,Japan,JP,Shimane,,37581,37581
Mizunami,35.3619,137.2544,Japan,JP,Gifu,,37164,37164
Kanie,35.1322,136.7869,Japan,JP,Aichi,,37048,37048
Katsuragi,34.4892,135.7267,Japan,JP,Nara,,37004,37004
Kannan,35.0894,138.9453,Japan,JP,Shizuoka,,36908,36908
Tsubata,36.6686,136.7283,Japan,JP,Ishikawa,,36774,36774
Komatsushimachō,34.0047,134.5906,Japan,JP,Tokushima,,36689,36689
Usuki,33.1258,131.8047,Japan,JP,Ōita,,36536,36536
Minami-Bōsō,35.0433,139.8403,Japan,JP,Chiba,,36412,36412
Kanada,33.7761,130.9806,Japan,JP,Fukuoka,,36280,36280
Miyajima,33.1525,130.4747,Japan,JP,Kumamoto,,36214,36214
Atami,35.0961,139.0717,Japan,JP,Shizuoka,,36089,36089
Kamata,33.5633,130.7117,Japan,JP,Fukuoka,,35929,35929
Morohongō,35.9417,139.3161,Japan,JP,Saitama,,35877,35877
Rifu,38.3303,140.9756,Japan,JP,Miyagi,,35597,35597
Ōfunato,39.0822,141.7083,Japan,JP,Iwate,,35535,35535
Iyo,33.7575,132.7039,Japan,JP,Ehime,,35508,35508
Abashiri,44.0206,144.2736,Japan,JP,Hokkaidō,,35205,35205
Sōsa,35.7078,140.5644,Japan,JP,Chiba,,35186,35186
Uonuma,37.2333,138.9667,Japan,JP,Niigata,,34895,34895
Kahoku,36.7200,136.7067,Japan,JP,Ishikawa,,34792,34792
Nishihara,26.2261,127.7656,Japan,JP,Okinawa,,34741,34741
Ōzu,32.8789,130.8683,Japan,JP,Kumamoto,,34571,34571
Shōbara,34.8578,133.0167,Japan,JP,Hiroshima,,34432,34432
Minamishiro,36.0225,139.7228,Japan,JP,Saitama,,34133,34133
Kamaishi,39.2758,141.8856,Japan,JP,Iwate,,34118,34118
Wakabadai,45.4000,141.7000,Japan,JP,Hokkaidō,,33689,33689
Kuji,40.1903,141.7753,Japan,JP,Iwate,,33556,33556
Shiroishi,38.0022,140.6197,Japan,JP,Miyagi,,33380,33380
Kaizu,35.2206,136.6367,Japan,JP,Gifu,,33178,33178
Ōsawa,33.2067,130.3839,Japan,JP,Fukuoka,,33072,33072
Motosu,35.4831,136.6786,Japan,JP,Gifu,,33054,33054
Ōdachō-ōda,35.1922,132.4997,Japan,JP,Shimane,,32848,32848
Sakaiminato,35.5397,133.2317,Japan,JP,Shimane,,32837,32837
Nagato,34.3711,131.1822,Japan,JP,Yamaguchi,,32817,32817
Shingū,33.7153,130.4467,Japan,JP,Fukuoka,,32691,32691
Namegata,35.9903,140.4892,Japan,JP,Ibaraki,,32604,32604
Yorii,36.1183,139.1931,Japan,JP,Saitama,,32576,32576
Kuroishi,40.6428,140.5944,Japan,JP,Aomori,,32376,32376
Yawatahama-shi,33.4631,132.4233,Japan,JP,Ehime,minor,32238,32238
Yashiki,32.7914,130.8164,Japan,JP,Kumamoto,,32218,32218
Komagane,35.7289,137.9339,Japan,JP,Nagano,,32197,32197
Maebara,35.1142,140.0989,Japan,JP,Chiba,,32196,32196
Ayabe,35.2989,135.2586,Japan,JP,Kyōto,,32164,32164
Zentsujichó,34.2283,133.7872,Japan,JP,Kagawa,,32073,32073
Shimizuchō,35.0992,138.9028,Japan,JP,Shizuoka,,31974,31974
Shima,39.5547,141.1678,Japan,JP,Iwate,,31969,31969
Katagami,39.8833,139.9889,Japan,JP,Akita,,31923,31923
Ōyama,35.2719,139.5864,Japan,JP,Kanagawa,,31683,31683
Yaita,36.8067,139.9242,Japan,JP,Tochigi,,31617,31617
Kanzakimachi-kanzaki,33.3108,130.3731,Japan,JP,Saga,,31365,31365
Yunoshima,35.8058,137.2442,Japan,JP,Gifu,,31316,31316
Ōiso,35.3069,139.3114,Japan,JP,Kanagawa,,31284,31284
Ōno,35.9806,136.4875,Japan,JP,Fukui,,31264,31264
Omaezaki,34.6381,138.1281,Japan,JP,Shizuoka,,31262,31262
Tsuruno,40.8089,140.3800,Japan,JP,Aomori,,31089,31089
Tawaramoto,34.5567,135.7950,Japan,JP,Nara,,31028,31028
Kaminokawa,36.4392,139.9100,Japan,JP,Tochigi,,30964,30964
Sasaguri,33.6156,130.5511,Japan,JP,Fukuoka,,30886,30886
Hirakawachō,40.5842,140.5664,Japan,JP,Aomori,,30822,30822
Shimotoba,34.8839,135.6628,Japan,JP,Kyōto,,30797,30797
Motomiya,37.5133,140.3939,Japan,JP,Fukushima,,30546,30546
Masaki,33.7875,132.7114,Japan,JP,Ehime,,29832,29832
Hanawa,40.2158,140.7883,Japan,JP,Akita,,29727,29727
Hirado,33.3681,129.5539,Japan,JP,Nagasaki,minor,29577,29577
Nirasaki,35.7089,138.4464,Japan,JP,Yamanashi,,29576,29576
Kaita,34.3722,132.5361,Japan,JP,Hiroshima,,29431,29431
Togitsu,32.8289,129.8486,Japan,JP,Nagasaki,,29375,29375
Izu,34.9767,138.9469,Japan,JP,Shizuoka,,29262,29262
Ogawa,36.0567,139.2619,Japan,JP,Saitama,,29137,29137
Oyabe,36.6833,136.8667,Japan,JP,Toyama,,29081,29081
Aioi,34.8036,134.4681,Japan,JP,Hyōgo,,28971,28971
Matsubushi,35.9258,139.8153,Japan,JP,Saitama,,28953,28953
Yoshinaga,34.7708,138.2519,Japan,JP,Shizuoka,,28899,28899
Kakuda,37.9772,140.7819,Japan,JP,Miyagi,,28623,28623
Tainai,38.0667,139.4167,Japan,JP,Niigata,,28610,28610
Ōuda-yamaguchi,34.5278,135.9525,Japan,JP,Nara,,28568,28568
Obama,35.4956,135.7467,Japan,JP,Fukui,,28538,28538
Gojō,34.3528,135.6989,Japan,JP,Nara,,28519,28519
Kitsuki,33.4169,131.6161,Japan,JP,Ōita,,28476,28476
Sue,33.5872,130.5072,Japan,JP,Fukuoka,,28377,28377
Niimi,34.9772,133.4703,Japan,JP,Okayama,,28327,28327
Chatan,26.3200,127.7639,Japan,JP,Okinawa,,28270,28270
Honchō,41.8958,140.6944,Japan,JP,Hokkaidō,,28080,28080
Kizuki,33.8500,130.7000,Japan,JP,Fukuoka,,28002,28002
Hiji,33.3694,131.5325,Japan,JP,Ōita,,27947,27947
Takahagi,36.7136,140.7097,Japan,JP,Ibaraki,,27863,27863
Ikata-chō,33.4883,132.3542,Japan,JP,Ehime,minor,8540,8540
Kozakai-chō,34.8000,137.3589,Japan,JP,Aichi,minor,,
Uchimaru,40.5144,141.4927,Japan,JP,Aomori,minor,,
Onagawa Chō,38.4449,141.4327,Japan,JP,Miyagi,minor,,
Furudate,40.5293,141.3055,Japan,JP,Aomori,minor,,
